config,n,w,b,white_piece,black_piece,positions,quiet_positions,always_win_stm,always_win_white,quiet_always_win_stm,quiet_always_win_white,deepest_white,deepest_black,deepest_white_quiet,deepest_black_quiet,wtm_win,wtm_draw,wtm_loss,btm_win,btm_draw,btm_loss,wtm_win_pct,wtm_draw_pct,wtm_loss_pct,btm_win_pct,btm_draw_pct,btm_loss_pct,q_wtm_win,q_wtm_draw,q_wtm_loss,q_btm_win,q_btm_draw,q_btm_loss,q_wtm_win_pct,q_wtm_draw_pct,q_wtm_loss_pct,q_btm_win_pct,q_btm_draw_pct,q_btm_loss_pct,deepest_white_pos,deepest_white_quiet_pos
BBBvN,10,3,1,bishop,knight,15684900,na,0,0,na,na,39,0,19,na,15684900,0,0,14776556,908344,0,100.000000,0.000000,0.000000,94.208800,5.791200,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,"wBg4,wBc6,wBg6,bNe5","wBd1,wBe1,wBa5,bNf5"
BBBvN,11,3,1,bishop,knight,33981640,na,0,0,na,na,43,0,21,na,33981320,320,0,31362220,2619420,0,99.999058,0.000942,0.000000,92.291661,7.708339,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,"wBe5,wBi5,wBe7,bNg6","wBc1,wBd1,wBe1,bNc5"
BBBvN,12,3,1,bishop,knight,68715504,na,0,0,na,na,31,0,23,na,68714872,632,0,62543416,6172088,0,99.999080,0.000920,0.000000,91.017911,8.982089,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,"wBe2,wBi2,wBe4,bNg3","wBc1,wBd1,wBf1,bNe4"
BBBvNN,3,3,2,bishop,knight,1260,0,0,0,na,na,13,15,0,0,1192,52,16,968,204,88,94.603175,4.126984,1.269841,76.825397,16.190476,6.984127,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"wBa1,wBc1,wBb2,bNb1,bNa2",
BBBvNN,4,3,2,bishop,knight,43680,1408,0,0,0,1,15,15,13,0,43472,208,0,29840,12816,1024,99.523810,0.476190,0.000000,68.315018,29.340659,2.344322,1408,0,0,1408,0,0,100.000000,0.000000,0.000000,100.000000,0.000000,0.000000,"wBa1,wBc1,wBa2,bNc2,bNb4","wBa1,wBd1,wBa4,bNb1,bNc1"
BBBvNN,5,3,2,bishop,knight,531300,38804,0,0,0,0,25,23,15,0,529192,2108,0,355288,171560,4452,99.603237,0.396763,0.000000,66.871447,32.290608,0.837945,38804,0,0,38460,344,0,100.000000,0.000000,0.000000,99.113493,0.886507,0.000000,"wBd2,wBe2,wBa3,bNb3,bNd4","wBa1,wBc1,wBe1,bNc4,bNc5"
BBBvNN,6,3,2,bishop,knight,3769920,451936,0,0,0,0,31,0,25,0,3753960,15960,0,2641396,1128524,0,99.576649,0.423351,0.000000,70.065041,29.934959,0.000000,451936,0,0,450800,1136,0,100.000000,0.000000,0.000000,99.748637,0.251363,0.000000,"wBa1,wBe1,wBc2,bNa3,bNf3","wBf1,wBe2,wBb5,bNa2,bNc2"
BBBvNN,7,3,2,bishop,knight,19068840,3276060,0,0,0,0,45,0,43,0,18250416,818424,0,9753060,9315780,0,95.708056,4.291944,0.000000,51.146583,48.853417,0.000000,3203916,72144,0,2812428,463632,0,97.797843,2.202157,0.000000,85.847878,14.152122,0.000000,"wBa2,wBe2,wBb3,bNe1,bNc3","wBf1,wBa2,wBe2,bNa4,bNe7"
BBBvNN,8,3,2,bishop,knight,76245120,17088964,0,0,0,0,67,0,67,0,71533128,4711992,0,38581184,37663936,0,93.819943,6.180057,0.000000,50.601513,49.398487,0.000000,15920248,1168716,0,13552092,3536872,0,93.160990,6.839010,0.000000,79.303181,20.696819,0.000000,"wBc2,wBa4,wBg4,bNf1,bNc7","wBc2,wBa4,wBg4,bNf1,bNc7"
BBBvNN,9,3,2,bishop,knight,256215960,70269640,0,0,0,0,63,0,63,0,229634944,26581016,0,128621044,127594916,0,89.625542,10.374458,0.000000,50.200247,49.799753,0.000000,59926108,10343532,0,52835184,17434456,0,85.280226,14.719774,0.000000,75.189205,24.810795,0.000000,"wBc1,wBe1,wBb2,bNa9,bNb9","wBc1,wBe1,wBb2,bNa9,bNb9"
BBBvNN,10,3,2,bishop,knight,752875200,na,0,0,na,na,67,0,67,na,681459340,71415860,0,416606912,336268288,0,90.514250,9.485750,0.000000,55.335454,44.664546,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,"wBa1,wBi1,wBd2,bNh1,bNi3","wBa1,wBi1,wBd2,bNh1,bNi3"
BBBvNN,11,3,2,bishop,knight,1987925940,na,0,0,na,na,69,0,69,na,1755944258,231981682,0,1119702344,868223596,0,88.330467,11.669533,0.000000,56.325154,43.674846,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,"wBb1,wBc2,wBg2,bNc1,bNd6","wBb1,wBc2,wBg2,bNc1,bNd6"
BBBvNN,12,3,2,bishop,knight,4810085280,na,0,0,na,na,91,0,91,na,4182817564,627267716,0,2770852064,2039233216,0,86.959322,13.040678,0.000000,57.605051,42.394949,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,"wBd1,wBh1,wBe2,bNa7,bNh9","wBd1,wBh1,wBe2,bNa7,bNh9"
BBBvQ,3,3,1,bishop,queen,504,0,0,0,na,na,3,9,0,0,364,92,48,16,224,264,72.222222,18.253968,9.523810,3.174603,44.444444,52.380952,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"wBa1,wBb1,wBc1,bQb3",
BBBvQ,4,3,1,bishop,queen,7280,256,0,0,0,0,1,13,0,0,4160,3120,0,0,4716,2564,57.142857,42.857143,0.000000,0.000000,64.780220,35.219780,0,256,0,0,256,0,0.000000,100.000000,0.000000,0.000000,100.000000,0.000000,"wBa1,wBb1,wBc1,bQa2",
BBBvQ,5,3,1,bishop,queen,50600,4536,0,0,0,0,1,11,0,0,25272,25328,0,0,48424,2176,49.944664,50.055336,0.000000,0.000000,95.699605,4.300395,0,4536,0,0,4536,0,0.000000,100.000000,0.000000,0.000000,100.000000,0.000000,"wBa1,wBb1,wBc1,bQa2",
BBBvQ,6,3,1,bishop,queen,235620,34832,0,0,0,0,1,0,0,0,104708,130912,0,0,235620,0,44.439351,55.560649,0.000000,0.000000,100.000000,0.000000,0,34832,0,0,34832,0,0.000000,100.000000,0.000000,0.000000,100.000000,0.000000,"wBa1,wBb1,wBc1,bQa2",
BBBvQ,7,3,1,bishop,queen,847504,172680,0,0,0,0,1,0,0,0,339276,508228,0,0,847504,0,40.032377,59.967623,0.000000,0.000000,100.000000,0.000000,0,172680,0,0,172680,0,0.000000,100.000000,0.000000,0.000000,100.000000,0.000000,"wBa1,wBb1,wBc1,bQa2",
BBBvQ,8,3,1,bishop,queen,2541504,648832,0,0,0,0,1,0,0,0,925664,1615840,0,0,2541504,0,36.421898,63.578102,0.000000,0.000000,100.000000,0.000000,0,648832,0,0,648832,0,0.000000,100.000000,0.000000,0.000000,100.000000,0.000000,"wBa1,wBb1,wBc1,bQa2",
BBBvQ,9,3,1,bishop,queen,6654960,2010032,0,0,0,0,1,0,0,0,2223120,4431840,0,0,6654960,0,33.405460,66.594540,0.000000,0.000000,100.000000,0.000000,0,2010032,0,0,2010032,0,0.000000,100.000000,0.000000,0.000000,100.000000,0.000000,"wBa1,wBb1,wBc1,bQa2",
BBBvQ,10,3,1,bishop,queen,15684900,na,0,0,na,na,1,0,0,na,4838564,10846336,0,0,15684900,0,30.848549,69.151451,0.000000,0.000000,100.000000,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,"wBa1,wBb1,wBc1,bQa2",
BBBvQ,11,3,1,bishop,queen,33981640,na,0,0,na,na,1,0,0,na,9736804,24244836,0,0,33981640,0,28.653132,71.346868,0.000000,0.000000,100.000000,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,"wBa1,wBb1,wBc1,bQa2",
BBBvQ,12,3,1,bishop,queen,68715504,na,0,0,na,na,1,0,0,na,18380128,50335376,0,0,68715504,0,26.748153,73.251847,0.000000,0.000000,100.000000,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,"wBa1,wBb1,wBc1,bQa2",
BBBvQQ,3,3,2,bishop,queen,1260,0,0,0,na,na,3,11,0,0,40,486,734,0,2,1258,3.174603,38.571429,58.253968,0.000000,0.158730,99.841270,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"wBa1,wBb1,wBc1,bQb2,bQb3",
BBBvQQ,4,3,2,bishop,queen,43680,16,0,0,0,0,0,15,0,11,0,24644,19036,0,876,42804,0.000000,56.419414,43.580586,0.000000,2.005495,97.994505,0,0,16,0,0,16,0.000000,0.000000,100.000000,0.000000,0.000000,100.000000,,
BBBvQQ,5,3,2,bishop,queen,531300,3504,0,0,0,0,0,23,0,19,0,429138,102162,0,46824,484476,0.000000,80.771316,19.228684,0.000000,8.813100,91.186900,0,1312,2192,0,1100,2404,0.000000,37.442922,62.557078,0.000000,31.392694,68.607306,,
BBBvQQ,6,3,2,bishop,queen,3769920,75712,0,0,0,0,0,49,0,45,0,3468648,301272,0,1198792,2571128,0.000000,92.008531,7.991469,0.000000,31.798871,68.201129,0,63308,12404,0,48968,26744,0.000000,83.616864,16.383136,0.000000,64.676669,35.323331,,
BBBvQQ,7,3,2,bishop,queen,19068840,762484,0,0,0,0,0,37,0,37,0,19012848,55992,0,10071332,8997508,0.000000,99.706369,0.293631,0.000000,52.815651,47.184349,0,762484,0,0,739892,22592,0.000000,100.000000,0.000000,0.000000,97.037053,2.962947,,
BBBvQQ,8,3,2,bishop,queen,76245120,4868192,0,0,0,0,0,23,0,0,0,76243352,1768,0,46729912,29515208,0.000000,99.997681,0.002319,0.000000,61.289053,38.710947,0,4868192,0,0,4868192,0,0.000000,100.000000,0.000000,0.000000,100.000000,0.000000,,
BBBvQQ,9,3,2,bishop,queen,256215960,23106896,0,0,0,0,0,27,0,0,0,256213540,2420,0,158270828,97945132,0.000000,99.999055,0.000945,0.000000,61.772431,38.227569,0,23106896,0,0,23106896,0,0.000000,100.000000,0.000000,0.000000,100.000000,0.000000,,
BBBvQQ,10,3,2,bishop,queen,752875200,na,0,0,na,na,0,31,0,na,0,752871536,3664,0,468527268,284347932,0.000000,99.999513,0.000487,0.000000,62.231731,37.768269,na,na,na,na,na,na,na,na,na,na,na,na,,
BBBvQQ,11,3,2,bishop,queen,1987925940,na,0,0,na,na,0,41,0,na,0,1987921100,4840,0,1249891044,738034896,0.000000,99.999757,0.000243,0.000000,62.874125,37.125875,na,na,na,na,na,na,na,na,na,na,na,na,,
BBBvQQ,12,3,2,bishop,queen,4810085280,na,0,0,na,na,0,0,0,na,0,4810085280,0,0,4810085280,0,0.000000,100.000000,0.000000,0.000000,100.000000,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,,
BBBvR,3,3,1,bishop,rook,504,0,0,0,na,na,5,7,0,0,500,4,0,348,116,40,99.206349,0.793651,0.000000,69.047619,23.015873,7.936508,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,"wBa1,wBc1,wBb2,bRa2",
BBBvR,4,3,1,bishop,rook,7280,256,0,0,0,0,11,0,9,0,7144,136,0,3896,3384,0,98.131868,1.868132,0.000000,53.516484,46.483516,0.000000,256,0,0,240,16,0,100.000000,0.000000,0.000000,93.750000,6.250000,0.000000,"wBc1,wBd1,wBa3,bRd4","wBb1,wBc1,wBa3,bRd4"
BBBvR,5,3,1,bishop,rook,50600,4536,0,0,0,0,21,0,17,0,47204,3396,0,22548,28052,0,93.288538,6.711462,0.000000,44.561265,55.438735,0.000000,3992,544,0,3592,944,0,88.007055,11.992945,0.000000,79.188713,20.811287,0.000000,"wBa2,wBe3,wBa4,bRe1","wBe1,wBd2,wBa5,bRb3"
BBBvR,6,3,1,bishop,rook,235620,34832,0,0,0,0,9,0,7,0,111948,123672,0,944,234676,0,47.512096,52.487904,0.000000,0.400645,99.599355,0.000000,88,34744,0,0,34832,0,0.252641,99.747359,0.000000,0.000000,100.000000,0.000000,"wBc1,wBe1,wBa5,bRa1","wBa2,wBf2,wBa3,bRb5"
BBBvR,7,3,1,bishop,rook,847504,172680,0,0,0,0,9,0,0,0,350396,497108,0,1176,846328,0,41.344466,58.655534,0.000000,0.138760,99.861240,0.000000,0,172680,0,0,172680,0,0.000000,100.000000,0.000000,0.000000,100.000000,0.000000,"wBc1,wBe1,wBa5,bRa1",
BBBvR,8,3,1,bishop,rook,2541504,648832,0,0,0,0,9,0,0,0,942912,1598592,0,1512,2539992,0,37.100551,62.899449,0.000000,0.059492,99.940508,0.000000,0,648832,0,0,648832,0,0.000000,100.000000,0.000000,0.000000,100.000000,0.000000,"wBc1,wBe1,wBa5,bRa1",
BBBvR,9,3,1,bishop,rook,6654960,2010032,0,0,0,0,9,0,0,0,2248344,4406616,0,1888,6653072,0,33.784486,66.215514,0.000000,0.028370,99.971630,0.000000,0,2010032,0,0,2010032,0,0.000000,100.000000,0.000000,0.000000,100.000000,0.000000,"wBc1,wBe1,wBa5,bRa1",
BBBvR,10,3,1,bishop,rook,15684900,na,0,0,na,na,9,0,0,na,4873844,10811056,0,2304,15682596,0,31.073478,68.926522,0.000000,0.014689,99.985311,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,"wBc1,wBe1,wBa5,bRa1",
BBBvR,11,3,1,bishop,rook,33981640,na,0,0,na,na,9,0,0,na,9784484,24197156,0,2760,33978880,0,28.793443,71.206557,0.000000,0.008122,99.991878,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,"wBc1,wBe1,wBa5,bRa1",
BBBvR,12,3,1,bishop,rook,68715504,na,0,0,na,na,9,0,0,na,18442768,50272736,0,3256,68712248,0,26.839311,73.160689,0.000000,0.004738,99.995262,0.000000,na,na,na,na,na,na,na,na,na,na,na,na,"wBc1,wBe1,wBa5,bRa1",
